Artikel-Nr	Artikelname	Einzelpreis	Anzahl	Rabatt	Bestelldatum	Kategoriename	Firma	Land	Nachname
29	Thüringer Rostbratwurst	99	15	0%	27.09.2020	Fleischprodukte	Comércio Mineiro	Brasilien	Callahan
49	Maxilaku	16	15	0%	27.09.2020	Süßwaren	Comércio Mineiro	Brasilien	Callahan
77	Original Frankfurter grüne Soße	10,4	10	0%	27.09.2020	Gewürze	Comércio Mineiro	Brasilien	Callahan
13	Konbu	4,8	20	10%	27.09.2020	Meeresfrüchte	Que Delícia	Brasilien	Suyama
44	Gula Malacca	15,5	24	10%	27.09.2020	Gewürze	Que Delícia	Brasilien	Suyama
51	Manjimup Dried Apples	42,4	2	10%	27.09.2020	Naturprodukte	Que Delícia	Brasilien	Suyama
20	Sir Rodney's Marmalade	64,8	20	0%	28.09.2020	Süßwaren	Tradição Hipermercados	Brasilien	Davolio
18	Carnarvon Tigers	50	12	0%	29.09.2020	Meeresfrüchte	Tortuga Restaurante	Mexiko	Davolio
24	Guaraná Fantástica	3,6	10	0%	29.09.2020	Getränke	Tortuga Restaurante	Mexiko	Davolio
63	Vegie-spread	35,1	5	0%	29.09.2020	Gewürze	Tortuga Restaurante	Mexiko	Davolio
75	Rhönbräu Klosterbier	6,2	6	0%	29.09.2020	Getränke	Tortuga Restaurante	Mexiko	Davolio
1	Chai	14,4	18	0%	30.09.2020	Getränke	Rattlesnake Canyon Grocery	USA	Peacock
17	Alice Mutton	31,2	15	0%	30.09.2020	Fleischprodukte	Rattlesnake Canyon Grocery	USA	Peacock
43	Ipoh Coffee	36,8	15	0%	30.09.2020	Getränke	Rattlesnake Canyon Grocery	USA	Peacock
60	Camembert Pierrot	27,2	21	0%	30.09.2020	Milchprodukte	Rattlesnake Canyon Grocery	USA	Peacock
75	Rhönbräu Klosterbier	6,2	6	0%	30.09.2020	Getränke	Rattlesnake Canyon Grocery	USA	Peacock
56	Gnocchi di nonna Alice	30,4	4	0%	03.10.2020	Getreideprodukte	Vins et alcools Chevalier	Frankreich	Fuller
11	Queso Cabrales	16,8	12	0%	04.10.2020	Milchprodukte	LILA-Supermercado	Venezuela	Suyama
16	Pavlova	13,9	30	0%	04.10.2020	Süßwaren	LILA-Supermercado	Venezuela	Suyama
69	Gudbrandsdalsost	28,8	15	0%	04.10.2020	Milchprodukte	LILA-Supermercado	Venezuela	Suyama
39	Chartreuse verte	14,4	60	0%	05.10.2020	Getränke	Blondel père et fils	Frankreich	Buchanan
72	Mozzarella di Giovanni	27,8	20	0%	05.10.2020	Milchprodukte	Blondel père et fils	Frankreich	Buchanan
2	Chang	15,2	40	0%	06.10.2020	Getränke	Hungry Owl All-Night Grocers	Irland	Suyama
36	Inlagd Sill	15,2	40	25%	06.10.2020	Meeresfrüchte	Hungry Owl All-Night Grocers	Irland	Suyama
59	Raclette Courdavault	44	30	25%	06.10.2020	Milchprodukte	Hungry Owl All-Night Grocers	Irland	Suyama
62	Tarte au sucre	39,4	15	0%	06.10.2020	Süßwaren	Hungry Owl All-Night Grocers	Irland	Suyama
19	Teatime Chocolate Biscuits	7,3	15	0%	07.10.2020	Süßwaren	Ricardo Adocicados	Brasilien	Peacock
70	Outback Lager	12	20	0%	07.10.2020	Getränke	Ricardo Adocicados	Brasilien	Peacock
66	Louisiana Hot Spiced Okra	13,6	30	0%	10.10.2020	Gewürze	Magazzini Alimentari Riuniti	Italien	Fuller
68	Scottish Longbreads	10	20	0%	10.10.2020	Süßwaren	Magazzini Alimentari Riuniti	Italien	Fuller
40	Boston Crab Meat	14,7	10	0%	10.10.2020	Meeresfrüchte	Die Wandernde Kuh	Deutschland	Callahan
56	Gnocchi di nonna Alice	30,4	20	0%	10.10.2020	Getreideprodukte	Die Wandernde Kuh	Deutschland	Callahan
17	Alice Mutton	31,2	40	0%	11.10.2020	Fleischprodukte	Suprêmes délices	Belgien	Peacock
28	Rössle Sauerkraut	36,4	28	0%	11.10.2020	Naturprodukte	Suprêmes délices	Belgien	Peacock
43	Ipoh Coffee	36,8	12	0%	11.10.2020	Getränke	Suprêmes délices	Belgien	Peacock
40	Boston Crab Meat	14,7	40	10%	12.10.2020	Meeresfrüchte	Godos Cocina Típica	Spanien	King
65	Louisiana Fiery Hot Pepper Sauce	16,8	30	10%	12.10.2020	Gewürze	Godos Cocina Típica	Spanien	King
68	Scottish Longbreads	10	15	10%	12.10.2020	Süßwaren	Godos Cocina Típica	Spanien	King
49	Maxilaku	16	30	0%	13.10.2020	Süßwaren	Tortuga Restaurante	Mexiko	Davolio
59	Raclette Courdavault	44	10	0%	13.10.2020	Milchprodukte	Tortuga Restaurante	Mexiko	Davolio
71	Fløtemysost	17,2	2	0%	13.10.2020	Milchprodukte	Tortuga Restaurante	Mexiko	Davolio
18	Carnarvon Tigers	50	25	10%	14.10.2020	Meeresfrüchte	Old World Delicatessen	USA	Callahan
29	Thüringer Rostbratwurst	99	25	10%	14.10.2020	Fleischprodukte	Old World Delicatessen	USA	Callahan
39	Chartreuse verte	14,4	30	10%	14.10.2020	Getränke	Old World Delicatessen	USA	Callahan
30	Nord-Ost Matjeshering	20,7	10	0%	17.10.2020	Meeresfrüchte	Romero y tomillo	Spanien	Davolio
53	Perth Pasties	26,2	10	0%	17.10.2020	Fleischprodukte	Romero y tomillo	Spanien	Davolio
54	Tourtière	5,9	5	0%	17.10.2020	Fleischprodukte	Romero y tomillo	Spanien	Davolio
62	Tarte au sucre	39,4	10	0%	18.10.2020	Süßwaren	Lonesome Pine Restaurant	USA	Fuller
68	Scottish Longbreads	10	3	0%	18.10.2020	Süßwaren	Lonesome Pine Restaurant	USA	Fuller
69	Gudbrandsdalsost	28,8	1	0%	19.10.2020	Milchprodukte	Ana Trujillo Emparedados y helados	Mexiko	King
70	Outback Lager	12	5	0%	19.10.2020	Getränke	Ana Trujillo Emparedados y helados	Mexiko	King
4	Chef Anton's Cajun Seasoning	17,6	20	0%	20.10.2020	Gewürze	Hungry Owl All-Night Grocers	Irland	Leverling
6	Grandma's Boysenberry Spread	20	30	0%	20.10.2020	Gewürze	Hungry Owl All-Night Grocers	Irland	Leverling
42	Singaporean Hokkien Fried Mee	11,2	2	0%	20.10.2020	Getreideprodukte	Hungry Owl All-Night Grocers	Irland	Leverling
43	Ipoh Coffee	36,8	20	0%	20.10.2020	Getränke	Hungry Owl All-Night Grocers	Irland	Leverling
71	Fløtemysost	17,2	3	0%	20.10.2020	Milchprodukte	Hungry Owl All-Night Grocers	Irland	Leverling
42	Singaporean Hokkien Fried Mee	11,2	6	0%	21.10.2020	Getreideprodukte	Du monde entier	Frankreich	Davolio
69	Gudbrandsdalsost	28,8	7	0%	21.10.2020	Milchprodukte	Du monde entier	Frankreich	Davolio
16	Pavlova	13,9	10	0%	21.10.2020	Süßwaren	The Big Cheese	USA	Callahan
62	Tarte au sucre	39,4	5	0%	21.10.2020	Süßwaren	The Big Cheese	USA	Callahan
28	Rössle Sauerkraut	36,4	4	0%	24.10.2020	Naturprodukte	Die Wandernde Kuh	Deutschland	Fuller
43	Ipoh Coffee	36,8	24	0%	24.10.2020	Getränke	Die Wandernde Kuh	Deutschland	Fuller
53	Perth Pasties	26,2	20	0%	24.10.2020	Fleischprodukte	Die Wandernde Kuh	Deutschland	Fuller
75	Rhönbräu Klosterbier	6,2	10	0%	24.10.2020	Getränke	Die Wandernde Kuh	Deutschland	Fuller
36	Inlagd Sill	15,2	12	0%	25.10.2020	Meeresfrüchte	QUICK-Stop	Deutschland	Fuller
32	Mascarpone Fabioli	25,6	40	10%	26.10.2020	Milchprodukte	Rattlesnake Canyon Grocery	USA	Davolio
58	Escargots de Bourgogne	10,6	30	10%	26.10.2020	Meeresfrüchte	Rattlesnake Canyon Grocery	USA	Davolio
62	Tarte au sucre	39,4	25	10%	26.10.2020	Süßwaren	Rattlesnake Canyon Grocery	USA	Davolio
34	Sasquatch Ale	11,2	14	0%	27.10.2020	Getränke	Island Trading	Großbritannien	Peacock
70	Outback Lager	12	30	0%	27.10.2020	Getränke	Island Trading	Großbritannien	Peacock
41	Jack's New England Clam Chowder	7,7	10	0%	28.10.2020	Meeresfrüchte	Rattlesnake Canyon Grocery	USA	Davolio
62	Tarte au sucre	39,4	70	0%	28.10.2020	Süßwaren	Rattlesnake Canyon Grocery	USA	Davolio
1	Chai	14,4	20	0%	31.10.2020	Getränke	Lonesome Pine Restaurant	USA	Suyama
41	Jack's New England Clam Chowder	7,7	20	0%	01.11.2020	Meeresfrüchte	Island Trading	Großbritannien	Callahan
76	Lakkalikööri	14,4	6	0%	01.11.2020	Getränke	Island Trading	Großbritannien	Callahan
17	Alice Mutton	31,2	8	0%	02.11.2020	Fleischprodukte	Tortuga Restaurante	Mexiko	King
28	Rössle Sauerkraut	36,4	14	0%	02.11.2020	Naturprodukte	Tortuga Restaurante	Mexiko	King
76	Lakkalikööri	14,4	30	0%	02.11.2020	Getränke	Tortuga Restaurante	Mexiko	King
35	Steeleye Stout	14,4	10	0%	03.11.2020	Getränke	Island Trading	Großbritannien	Leverling
71	Fløtemysost	17,2	30	0%	03.11.2020	Milchprodukte	Wartian Herkku	Finnland	Buchanan
52	Filo Mix	5,6	20	0%	04.11.2020	Getreideprodukte	Pericles Comidas clásicas	Mexiko	King
15	Genen Shouyu	12,4	5	0%	07.11.2020	Gewürze	Königlich Essen	Deutschland	Peacock
25	NuNuCa Nuß-Nougat-Creme	11,2	4	0%	07.11.2020	Süßwaren	Königlich Essen	Deutschland	Peacock
39	Chartreuse verte	14,4	4	0%	07.11.2020	Getränke	Königlich Essen	Deutschland	Peacock
16	Pavlova	13,9	21	15%	08.11.2020	Süßwaren	Save-a-lot Markets	USA	Dodsworth
35	Steeleye Stout	14,4	70	15%	08.11.2020	Getränke	Save-a-lot Markets	USA	Dodsworth
46	Spegesild	9,6	30	0%	08.11.2020	Meeresfrüchte	Save-a-lot Markets	USA	Dodsworth
59	Raclette Courdavault	44	40	15%	08.11.2020	Milchprodukte	Save-a-lot Markets	USA	Dodsworth
63	Vegie-spread	35,1	80	15%	08.11.2020	Gewürze	Save-a-lot Markets	USA	Dodsworth
6	Grandma's Boysenberry Spread	20	6	0%	09.11.2020	Gewürze	Königlich Essen	Deutschland	Davolio
13	Konbu	4,8	12	0%	09.11.2020	Meeresfrüchte	Königlich Essen	Deutschland	Davolio
14	Tofu	18,6	9	0%	09.11.2020	Naturprodukte	Königlich Essen	Deutschland	Davolio
31	Gorgonzola Telino	10	4	0%	09.11.2020	Milchprodukte	Königlich Essen	Deutschland	Davolio
72	Mozzarella di Giovanni	27,8	40	0%	09.11.2020	Milchprodukte	Königlich Essen	Deutschland	Davolio
4	Chef Anton's Cajun Seasoning	17,6	24	0%	10.11.2020	Gewürze	Bólido Comidas preparadas	Spanien	Peacock
57	Ravioli Angelo	15,6	16	0%	10.11.2020	Getreideprodukte	Bólido Comidas preparadas	Spanien	Peacock
75	Rhönbräu Klosterbier	6,2	50	0%	10.11.2020	Getränke	Bólido Comidas preparadas	Spanien	Peacock
2	Chang	15,2	25	20%	11.11.2020	Getränke	Folk och fä HB	Schweden	Fuller
11	Queso Cabrales	16,8	50	20%	11.11.2020	Milchprodukte	Folk och fä HB	Schweden	Fuller
30	Nord-Ost Matjeshering	20,7	35	20%	11.11.2020	Meeresfrüchte	Folk och fä HB	Schweden	Fuller
58	Escargots de Bourgogne	10,6	30	20%	11.11.2020	Meeresfrüchte	Folk och fä HB	Schweden	Fuller
59	Raclette Courdavault	44	9	0%	14.11.2020	Milchprodukte	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
65	Louisiana Fiery Hot Pepper Sauce	16,8	40	0%	14.11.2020	Gewürze	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
68	Scottish Longbreads	10	10	0%	14.11.2020	Süßwaren	Furia Bacalhau e Frutos do Mar	Portugal	Peacock
19	Teatime Chocolate Biscuits	7,3	10	5%	15.11.2020	Süßwaren	Split Rail Beer & Ale	USA	Peacock
30	Nord-Ost Matjeshering	20,7	8	5%	15.11.2020	Meeresfrüchte	Split Rail Beer & Ale	USA	Peacock
38	Côte de Blaye	210,8	20	5%	15.11.2020	Getränke	Split Rail Beer & Ale	USA	Peacock
56	Gnocchi di nonna Alice	30,4	12	5%	15.11.2020	Getreideprodukte	Split Rail Beer & Ale	USA	Peacock
54	Tourtière	5,9	15	0%	16.11.2020	Fleischprodukte	Bon app'	Frankreich	Dodsworth
26	Gumbär Gummibärchen	24,9	50	15%	16.11.2020	Süßwaren	LILA-Supermercado	Venezuela	Leverling
72	Mozzarella di Giovanni	27,8	25	15%	16.11.2020	Milchprodukte	LILA-Supermercado	Venezuela	Leverling
18	Carnarvon Tigers	50	40	20%	17.11.2020	Meeresfrüchte	Mère Paillarde	Kanada	Leverling
42	Singaporean Hokkien Fried Mee	11,2	10	20%	17.11.2020	Getreideprodukte	Mère Paillarde	Kanada	Leverling
47	Zaanse koeken	7,6	16	20%	17.11.2020	Süßwaren	Mère Paillarde	Kanada	Leverling
14	Tofu	18,6	10	0%	18.11.2020	Naturprodukte	Wartian Herkku	Finnland	Buchanan
21	Sir Rodney's Scones	8	10	10%	18.11.2020	Süßwaren	Wartian Herkku	Finnland	Buchanan
71	Fløtemysost	17,2	40	10%	18.11.2020	Milchprodukte	Wartian Herkku	Finnland	Buchanan
52	Filo Mix	5,6	8	0%	21.11.2020	Getreideprodukte	Victuailles en stock	Frankreich	Callahan
68	Scottish Longbreads	10	10	0%	21.11.2020	Süßwaren	Victuailles en stock	Frankreich	Callahan
2	Chang	15,2	7	20%	22.11.2020	Getränke	Hungry Owl All-Night Grocers	Irland	King
31	Gorgonzola Telino	10	25	20%	22.11.2020	Milchprodukte	Hungry Owl All-Night Grocers	Irland	King
32	Mascarpone Fabioli	25,6	6	20%	22.11.2020	Milchprodukte	Hungry Owl All-Night Grocers	Irland	King
51	Manjimup Dried Apples	42,4	48	20%	22.11.2020	Naturprodukte	Hungry Owl All-Night Grocers	Irland	King
4	Chef Anton's Cajun Seasoning	17,6	18	10%	23.11.2020	Gewürze	Princesa Isabel Vinhos	Portugal	King
23	Tunnbröd	7,2	40	0%	24.11.2020	Getreideprodukte	Frankenversand	Deutschland	Peacock
26	Gumbär Gummibärchen	24,9	24	0%	24.11.2020	Süßwaren	Frankenversand	Deutschland	Peacock
36	Inlagd Sill	15,2	20	0%	24.11.2020	Meeresfrüchte	Frankenversand	Deutschland	Peacock
37	Gravad lax	20,8	28	0%	24.11.2020	Meeresfrüchte	Frankenversand	Deutschland	Peacock
72	Mozzarella di Giovanni	27,8	25	0%	24.11.2020	Milchprodukte	Frankenversand	Deutschland	Peacock
17	Alice Mutton	31,2	20	0%	25.11.2020	Fleischprodukte	Old World Delicatessen	USA	Peacock
30	Nord-Ost Matjeshering	20,7	15	0%	25.11.2020	Meeresfrüchte	Old World Delicatessen	USA	Peacock
4	Chef Anton's Cajun Seasoning	17,6	10	0%	28.11.2020	Gewürze	Mère Paillarde	Kanada	Fuller
17	Alice Mutton	31,2	70	5%	28.11.2020	Fleischprodukte	Mère Paillarde	Kanada	Fuller
